 0    0    3    0  -18    0   24    0   -9    0    1   |  0.000  -6.000  -1.333  -0.375  -0.111
 0    0    5    0  -20    0   24    0   -9    0    1   |  0.000  -4.000  -1.200  -0.375  -0.111
 0    0    4    0  -19    0   24    0   -9    0    1   |  0.000  -4.750  -1.263  -0.375  -0.111
 0    0    3    0  -20    0   24    0   -9    0    1   |  0.000  -6.667  -1.200  -0.375  -0.111
 0    0    5    0  -22    0   24    0   -9    0    1   |  0.000  -4.400  -1.091  -0.375  -0.111
 0    0    4    0  -21    0   24    0   -9    0    1   |  0.000  -5.250  -1.143  -0.375  -0.111
 0    0    6    0  -22    0   24    0   -9    0    1   |  0.000  -3.667  -1.091  -0.375  -0.111
 0    0    8    0  -26    0   25    0   -9    0    1   |  0.000  -3.250  -0.962  -0.360  -0.111
 0    0    6    0  -23    0   25    0   -9    0    1   |  0.000  -3.833  -1.087  -0.360  -0.111
 0    0    4    0  -22    0   25    0   -9    0    1   |  0.000  -5.500  -1.136  -0.360  -0.111
 0    0    5    0  -23    0   25    0   -9    0    1   |  0.000  -4.600  -1.087  -0.360  -0.111
 0    0    7    0  -27    0   26    0   -9    0    1   |  0.000  -3.857  -0.963  -0.346  -0.111
 0    0    6    0  -24    0   25    0   -9    0    1   |  0.000  -4.000  -1.042  -0.360  -0.111
 0    0   12    0  -32    0   27    0   -9    0    1   |  0.000  -2.667  -0.844  -0.333  -0.111
 0    0    8    0  -28    0   26    0   -9    0    1   |  0.000  -3.500  -0.929  -0.346  -0.111
-1    0   10    0  -26    0   25    0   -9    0    1   |-10.000  -2.600  -0.962  -0.360  -0.111
-1    0   11    0  -28    0   26    0   -9    0    1   |-11.000  -2.545  -0.929  -0.346  -0.111
 0    0    9    0  -27    0   26    0   -9    0    1   |  0.000  -3.000  -0.963  -0.346  -0.111
-1    0    9    0  -25    0   25    0   -9    0    1   | -9.000  -2.778  -1.000  -0.360  -0.111
-1    0   11    0  -29    0   26    0   -9    0    1   |-11.000  -2.636  -0.897  -0.346  -0.111
 0    0    9    0  -28    0   26    0   -9    0    1   |  0.000  -3.111  -0.929  -0.346  -0.111
 0    0   11    0  -29    0   26    0   -9    0    1   |  0.000  -2.636  -0.897  -0.346  -0.111
 0    0    3    0  -22    0   25    0   -9    0    1   |  0.000  -7.333  -1.136  -0.360  -0.111
 0    0    5    0  -24    0   25    0   -9    0    1   |  0.000  -4.800  -1.042  -0.360  -0.111
 0    0    4    0  -25    0   26    0   -9    0    1   |  0.000  -6.250  -1.040  -0.346  -0.111
 0    0    5    0  -26    0   26    0   -9    0    1   |  0.000  -5.200  -1.000  -0.346  -0.111
 0    0    7    0  -24    0   25    0   -9    0    1   |  0.000  -3.429  -1.042  -0.360  -0.111
 0    0    6    0  -26    0   26    0   -9    0    1   |  0.000  -4.333  -1.000  -0.346  -0.111
 0    0    7    0  -26    0   26    0   -9    0    1   |  0.000  -3.714  -1.000  -0.346  -0.111
 0    0    8    0  -27    0   26    0   -9    0    1   |  0.000  -3.375  -0.963  -0.346  -0.111
 0    0    9    0  -28    0   26    0   -9    0    1   |  0.000  -3.111  -0.929  -0.346  -0.111
 0    0    8    0  -27    0   26    0   -9    0    1   |  0.000  -3.375  -0.963  -0.346  -0.111
-1    0   10    0  -27    0   26    0   -9    0    1   |-10.000  -2.700  -0.963  -0.346  -0.111
-1    0   10    0  -28    0   26    0   -9    0    1   |-10.000  -2.800  -0.929  -0.346  -0.111
-1    0   13    0  -32    0   27    0   -9    0    1   |-13.000  -2.462  -0.844  -0.333  -0.111
-1    0   14    0  -32    0   27    0   -9    0    1   |-14.000  -2.286  -0.844  -0.333  -0.111
 0    0    9    0  -30    0   27    0   -9    0    1   |  0.000  -3.333  -0.900  -0.333  -0.111
 0    0   11    0  -31    0   27    0   -9    0    1   |  0.000  -2.818  -0.871  -0.333  -0.111
-1    0   11    0  -31    0   27    0   -9    0    1   |-11.000  -2.818  -0.871  -0.333  -0.111
-1    0   12    0  -31    0   27    0   -9    0    1   |-12.000  -2.583  -0.871  -0.333  -0.111
-1    0   15    0  -35    0   28    0   -9    0    1   |-15.000  -2.333  -0.800  -0.321  -0.111
